exam_year,score,rank,section_num,category,subject_type,batch,rank_percent,total_student
2023,283,275934,167,普通类,综合类,一段,0.9943,277524
2023,282,276107,173,普通类,综合类,一段,0.9949,277524
2023,281,276257,150,普通类,综合类,一段,0.9954,277524
2023,280,276425,168,普通类,综合类,一段,0.996,277524
2023,279,276605,180,普通类,综合类,一段,0.9967,277524
2023,278,276780,175,普通类,综合类,一段,0.9973,277524
2023,277,276963,183,普通类,综合类,一段,0.998,277524
2023,276,277150,187,普通类,综合类,一段,0.9987,277524
2023,275,277345,195,普通类,综合类,一段,0.9994,277524
2023,274,277524,179,普通类,综合类,一段,1.0,277524
2024,699,331,331,普通类,综合类,一段,0.0012,281057
2024,698,396,65,普通类,综合类,一段,0.0014,281057
2024,697,468,72,普通类,综合类,一段,0.0017,281057
2024,696,533,65,普通类,综合类,一段,0.0019,281057
2024,695,597,64,普通类,综合类,一段,0.0021,281057
2024,694,667,70,普通类,综合类,一段,0.0024,281057
2024,693,763,96,普通类,综合类,一段,0.0027,281057
2024,692,855,92,普通类,综合类,一段,0.003,281057
2024,691,939,84,普通类,综合类,一段,0.0033,281057
2024,690,1039,100,普通类,综合类,一段,0.0037,281057
2024,689,1138,99,普通类,综合类,一段,0.004,281057
2024,688,1265,127,普通类,综合类,一段,0.0045,281057
2024,687,1379,114,普通类,综合类,一段,0.0049,281057
2024,686,1532,153,普通类,综合类,一段,0.0055,281057
2024,685,1657,125,普通类,综合类,一段,0.0059,281057
2024,684,1799,142,普通类,综合类,一段,0.0064,281057
2024,683,1981,182,普通类,综合类,一段,0.007,281057
2024,682,2128,147,普通类,综合类,一段,0.0076,281057
2024,681,2311,183,普通类,综合类,一段,0.0082,281057
2024,680,2516,205,普通类,综合类,一段,0.009,281057
2024,679,2738,222,普通类,综合类,一段,0.0097,281057
2024,678,2926,188,普通类,综合类,一段,0.0104,281057
2024,677,3122,196,普通类,综合类,一段,0.0111,281057
2024,676,3345,223,普通类,综合类,一段,0.0119,281057
2024,675,3577,232,普通类,综合类,一段,0.0127,281057
2024,674,3843,266,普通类,综合类,一段,0.0137,281057
2024,673,4083,240,普通类,综合类,一段,0.0145,281057
2024,672,4365,282,普通类,综合类,一段,0.0155,281057
2024,671,4627,262,普通类,综合类,一段,0.0165,281057
2024,670,4914,287,普通类,综合类,一段,0.0175,281057
2024,669,5198,284,普通类,综合类,一段,0.0185,281057
2024,668,5498,300,普通类,综合类,一段,0.0196,281057
2024,667,5788,290,普通类,综合类,一段,0.0206,281057
2024,666,6116,328,普通类,综合类,一段,0.0218,281057
2024,665,6450,334,普通类,综合类,一段,0.0229,281057
2024,664,6842,392,普通类,综合类,一段,0.0243,281057
2024,663,7191,349,普通类,综合类,一段,0.0256,281057
2024,662,7566,375,普通类,综合类,一段,0.0269,281057
2024,661,7951,385,普通类,综合类,一段,0.0283,281057
2024,660,8307,356,普通类,综合类,一段,0.0296,281057
2024,659,8688,381,普通类,综合类,一段,0.0309,281057
2024,658,9133,445,普通类,综合类,一段,0.0325,281057
2024,657,9543,410,普通类,综合类,一段,0.034,281057
2024,656,9982,439,普通类,综合类,一段,0.0355,281057
2024,655,10425,443,普通类,综合类,一段,0.0371,281057
2024,654,10917,492,普通类,综合类,一段,0.0388,281057
2024,653,11376,459,普通类,综合类,一段,0.0405,281057
2024,652,11848,472,普通类,综合类,一段,0.0422,281057
2024,651,12364,516,普通类,综合类,一段,0.044,281057
2024,650,12844,480,普通类,综合类,一段,0.0457,281057
2024,649,13344,500,普通类,综合类,一段,0.0475,281057
2024,648,13882,538,普通类,综合类,一段,0.0494,281057
2024,647,14383,501,普通类,综合类,一段,0.0512,281057
